;Course;Distance;Coordinate
1;132.52°;0.08nm;N 60°24.3388' - E  5°13.7604'
2;90.86°;0.86nm;N 60°24.3257' - E  5°15.5080'
3;7.83°;0.46nm;N 60°24.7786' - E  5°15.6341'
4;336.17°;5.99nm;N 60°29.5750' - E  5°13.4862'
5;298.98°;4.97nm;N 60°31.9769' - E  5°04.6525'
6;293.37°;2.31nm;N 60°32.8915' - E  5°00.3430'
7;315.75°;1.10nm;N 60°33.6775' - E  4°58.7847'
8;33.85°;0.40nm;N 60°34.0107' - E  4°59.2396'
9;11.19°;0.61nm;N 60°34.6105' - E  4°59.4811'
10;327.84°;1.31nm;N 60°35.7222' - E  4°58.0570'
11;309.87°;0.79nm;N 60°36.2262' - E  4°56.8276'
12;326.37°;5.64nm;N 60°40.9153' - E  4°50.4536'
13;269.04°;1.53nm;N 60°40.8891' - E  4°47.3260'
14;185.43°;0.95nm;N 60°39.9412' - E  4°47.1420'
15;144.40°;0.21nm;N 60°39.7701' - E  4°47.3919'
16;176.34°;0.05nm;N 60°39.7180' - E  4°47.3988'
