;Course;Distance;Coordinate
1;19.85°;0.04nm;"N 60°13.4605' - E  5°09.4467'"
2;46.94°;0.05nm;"N 60°13.4976' - E  5°09.5268'"
3;101.99°;0.07nm;"N 60°13.4837' - E  5°09.6585'"
4;114.10°;0.07nm;"N 60°13.4563' - E  5°09.7821'"
5;124.52°;0.06nm;"N 60°13.4213' - E  5°09.8846'"
6;156.75°;0.17nm;"N 60°13.2648' - E  5°10.0199'"
7;169.20°;0.34nm;"N 60°12.9305' - E  5°10.1483'"
8;166.88°;0.49nm;"N 60°12.4513' - E  5°10.3731'"
9;168.95°;0.49nm;"N 60°11.9667' - E  5°10.5636'"
10;169.03°;0.86nm;"N 60°11.1232' - E  5°10.8926'"
11;172.10°;1.43nm;"N 60°09.7030' - E  5°11.2885'"
12;179.30°;1.21nm;"N 60°08.4897' - E  5°11.3183'"
13;172.75°;0.58nm;"N 60°07.9136' - E  5°11.4655'"
14;152.27°;0.57nm;"N 60°07.4068' - E  5°12.0004'"
15;123.53°;0.03nm;"N 60°07.3917' - E  5°12.0461'"
