;Course;Distance;Coordinate
1;217.67°;0.07nm;"N 60°23.5545' - E  5°04.0274'"
2;341.06°;0.70nm;"N 60°24.2201' - E  5°03.5648'"
3;54.78°;0.86nm;"N 60°24.7168' - E  5°04.9902'"
4;110.75°;0.67nm;"N 60°24.4795' - E  5°06.2583'"
5;124.08°;0.80nm;"N 60°24.0324' - E  5°07.5958'"
6;107.96°;0.65nm;"N 60°23.8316' - E  5°08.8491'"
7;138.78°;0.93nm;"N 60°23.1357' - E  5°10.0827'"
8;178.62°;1.02nm;"N 60°22.1145' - E  5°10.1324'"
9;174.71°;1.57nm;"N 60°20.5491' - E  5°10.4253'"
10;129.13°;0.62nm;"N 60°20.1603' - E  5°11.3908'"
11;156.34°;0.52nm;"N 60°19.6860' - E  5°11.8106'"
12;182.68°;2.47nm;"N 60°17.2181' - E  5°11.5775'"
13;174.11°;0.15nm;"N 60°17.0692' - E  5°11.6084'"
14;176.08°;0.33nm;"N 60°16.7418' - E  5°11.6537'"
15;164.96°;0.76nm;"N 60°16.0089' - E  5°12.0509'"
16;169.62°;0.80nm;"N 60°15.2209' - E  5°12.3418'"
17;187.49°;0.58nm;"N 60°14.6489' - E  5°12.1902'"
18;175.00°;0.33nm;"N 60°14.3226' - E  5°12.2477'"
19;165.95°;0.14nm;"N 60°14.1883' - E  5°12.3154'"
20;188.35°;0.17nm;"N 60°14.0240' - E  5°12.2669'"
21;154.03°;0.85nm;"N 60°13.2607' - E  5°13.0155'"
22;143.37°;0.75nm;"N 60°12.6618' - E  5°13.9116'"
23;124.63°;1.13nm;"N 60°12.0221' - E  5°15.7745'"
24;84.36°;0.80nm;"N 60°12.1006' - E  5°17.3764'"
25;28.22°;0.68nm;"N 60°12.7006' - E  5°18.0247'"
26;338.89°;0.76nm;"N 60°13.4075' - E  5°17.4752'"
27;359.43°;0.03nm;"N 60°13.4364' - E  5°17.4746'"
